Order Date,Order ID,Product Name,Category Name,Store Name,Region,Qty,Unit Price,Cost Price,Stock Level
2025-01-01,ORD-10001,iPad Air 5th Gen,Electronics,Delhi North,North,2.0,55000,42000,72
2025-01-01,ORD-10002,Nike Air Max Sneakers,Apparel,Kolkata South,East,1.0,9500,5500,123
2025-01-01,ORD-10003,iPhone 15 Pro,Electronics,Chennai Central,South,2.0,120000,95000,74
2025-01-01,ORD-10004,Dyson Airwrap Styler,Home & Kitchen,Kolkata South,East,2.0,49000,38000,122
2025-01-02,ORD-10005,Ergonomic Office Chair,Furniture,Mumbai West,West,4.0,18000,11000,102
2025-01-02,ORD-10006,Solid Wood Dining Table,Furniture,Mumbai West,West,3.0,45000,30000,41
2025-01-02,ORD-10007,Sony WH-1000XM5 Headphones,Electronics,Chennai Central,South,3.0,28000,20000,103
2025-01-02,ORD-10008,Nespresso Coffee Machine,Home & Kitchen,Chennai Central,South,4.0,18500,12500,46
2025-01-02,ORD-10009,Organic Extra Virgin Olive Oil 1L,Grocery,Kolkata South,East,6.0,1400,950,64
2025-01-02,ORD-10010,iPhone 15 Pro,Electronics,Mumbai West,West,3.0,120000,95000,35
2025-01-02,ORD-10011,Nike Air Max Sneakers,Apparel,Bengaluru East,South,3.0,9500,5500,131
2025-01-02,ORD-10012,Solid Wood Dining Table,Furniture,Delhi North,North,3.0,45000,30000,68
2025-01-03,ORD-10013,Dell XPS 15,Electronics,Mumbai West,West,2.0,140000,110000,56
2025-01-03,ORD-10014,Imported Coffee Beans 500g,Grocery,Delhi North,North,6.0,1200,750,29
2025-01-03,ORD-10015,Nike Air Max Sneakers,Apparel,Delhi North,North,4.0,9500,5500,83
2025-01-03,ORD-10016,Samsung Galaxy S24,Electronics,Kolkata South,East,,90000,72000,69
2025-01-03,ORD-10017,Imported Coffee Beans 500g,Grocery,Bengaluru East,South,5.0,1200,750,50
2025-01-03,ORD-10018,Puma Track Pants,Apparel,Kolkata South,East,3.0,2200,1100,124
2025-01-04,ORD-10019,Artisanal Dark Chocolate Pack,Grocery,Mumbai West,West,8.0,650,380,38
2025-01-04,ORD-10020,iPhone 15 Pro,Electronics,Mumbai West,West,2.0,120000,95000,123
2025-01-04,ORD-10021,Dyson Airwrap Styler,Home & Kitchen,Bengaluru East,South,4.0,49000,38000,134
2025-01-04,ORD-10022,Dyson Airwrap Styler,Home & Kitchen,Chennai Central,South,3.0,49000,38000,3
2025-01-04,ORD-10023,Zara Cotton Shirt,Apparel,Chennai Central,South,3.0,2500,1200,143
2025-01-04,ORD-10024,Puma Track Pants,Apparel,Chennai Central,South,3.0,2200,1100,144
2025-01-04,ORD-10025,Philips Air Fryer XL,Home & Kitchen,Mumbai West,West,3.0,12500,8500,56
2025-01-04,ORD-10026,Dyson Airwrap Styler,Home & Kitchen,Kolkata South,East,3.0,49000,38000,2
2025-01-04,ORD-10027,Solid Wood Dining Table,Furniture,Chennai Central,South,2.0,45000,30000,35
2025-01-04,ORD-10028,iPad Air 5th Gen,Electronics,Bengaluru East,South,1.0,55000,42000,47
2025-01-04,ORD-10029,Zara Cotton Shirt,Apparel,Kolkata South,East,2.0,2500,1200,82
2025-01-05,ORD-10030,Robot Vacuum Cleaner,Home & Kitchen,Mumbai West,West,2.0,29000,19000,94
2025-01-05,ORD-10031,Artisanal Dark Chocolate Pack,Grocery,Bengaluru East,South,2.0,650,380,78
2025-01-05,ORD-10032,Nike Air Max Sneakers,Apparel,Delhi North,North,1.0,9500,5500,73
2025-01-05,ORD-10033,Philips Air Fryer XL,Home & Kitchen,Chennai Central,South,1.0,12500,8500,30
2025-01-05,ORD-10034,Nike Air Max Sneakers,Apparel,Chennai Central,South,3.0,9500,5500,33
2025-01-05,ORD-10035,Philips Air Fryer XL,Home & Kitchen,Delhi North,North,4.0,12500,8500,69
2025-01-05,ORD-10036,Philips Air Fryer XL,Home & Kitchen,Kolkata South,East,4.0,12500,8500,77
2025-01-05,ORD-10037,Imported Coffee Beans 500g,Grocery,Mumbai West,West,2.0,1200,750,125
2025-01-05,ORD-10038,Standing Desk Dual Motor,Furniture,Bengaluru East,South,4.0,32000,21000,28
2025-01-05,ORD-10039,iPhone 15 Pro,Electronics,Bengaluru East,South,3.0,120000,95000,42
2025-01-05,ORD-10040,Levi's Denim Jacket,Apparel,Mumbai West,West,4.0,4500,2400,50
2025-01-06,ORD-10041,Adidas Ultraboost,Apparel,Bengaluru East,South,2.0,12000,7000,34
2025-01-06,ORD-10042,Organic Extra Virgin Olive Oil 1L,Grocery,Chennai Central,South,2.0,1400,950,75
2025-01-06,ORD-10043,Zara Cotton Shirt,Apparel,Bengaluru East,South,4.0,-500,1200,69
